# IP	Distancia
36.29.138.97	471
36.32.137.69	315
36.50.52.170	367
36.50.133.180	263
36.54.83.103	363
36.54.135.7	358
36.61.249.191	337
36.66.160.248	288
36.68.78.186	252
36.70.228.110	314
36.73.1.35	336
36.75.245.114	320
36.79.202.232	399
36.83.59.164	328
1.97.91.30	295
1.102.139.17	217
1.106.220.147	302
1.111.91.45	356
1.114.178.125	335
1.115.252.205	642
1.117.109.246	430
1.122.59.43	322
1.125.112.8	369
1.127.188.176	445
1.129.197.72	433
1.138.179.125	297
1.143.214.187	316
240.1.34.139	387
240.18.198.249	298
240.26.120.182	328
240.61.51.189	513
240.62.173.197	341
240.64.152.165	361
240.74.251.194	389
240.82.188.194	426
240.85.17.161	387
240.91.178.54	511
240.103.113.182	372
240.103.154.172	381
240.104.128.11	477
240.105.184.47	290
240.108.210.181	378
240.109.69.101	386
240.121.78.166	455
240.122.141.180	523
240.127.163.161	294
240.142.104.114	579
240.152.9.182	434
240.156.54.85	637
1.152.5.111	436
1.155.44.151	409
1.163.24.16	245
1.168.193.111	282
1.172.25.149	406
1.185.86.53	326
1.191.159.163	337
1.194.23.178	285
1.198.203.112	395
1.206.154.156	320
1.207.23.160	331
1.219.238.130	324
1.229.185.179	311
1.232.222.168	396
1.233.161.147	319
1.241.129.170	377
2.4.190.195	358
2.7.33.253	433
2.7.119.118	284
2.8.170.105	498
2.14.32.135	446
2.38.83.29	414
2.43.168.98	324
2.45.156.11	407
2.45.241.36	464
2.61.158.102	387
2.64.55.25	329
2.65.232.60	356
2.70.3.137	373
2.79.34.197	406
2.81.40.29	524
2.81.231.243	386
2.83.76.160	340
2.85.8.4	499
2.86.219.128	319
2.106.5.78	422
2.110.40.228	279
2.112.8.117	311
2.116.174.77	327
2.122.23.177	357
2.123.73.92	345
2.130.93.77	337
2.132.46.94	399
2.139.111.106	286
2.146.157.244	437
2.151.33.250	409
2.163.39.221	449
2.171.242.103	453
2.190.129.106	524
2.207.139.14	434
2.208.24.101	340
2.210.55.6	294
2.223.1.94	342
2.225.157.87	360
2.235.62.215	298
2.239.141.42	394
2.239.169.226	268
2.240.27.176	376
2.244.70.170	312
2.246.109.87	239
2.249.140.54	498
3.2.224.27	364
3.7.54.240	257
3.12.191.184	401
3.29.49.2	449
3.44.237.3	351
3.50.239.150	376
3.53.98.200	483
3.59.40.131	197
3.73.53.143	364
3.74.3.234	299
3.76.32.10	248
3.76.247.152	328
3.87.169.72	84
3.96.31.210	418
3.99.142.197	386
3.100.58.56	106
3.103.201.231	267
3.111.106.140	273
3.112.35.98	378
3.115.215.77	312
3.119.217.22	435
3.127.231.10	422
3.129.226.238	343
3.139.161.30	380
3.139.251.147	349
3.153.28.139	189
3.159.158.99	320
3.167.33.184	275
3.168.215.165	423
3.173.29.173	328
3.182.165.188	267
3.185.252.239	500
3.189.110.219	293
3.189.140.252	262
3.190.233.69	327
3.192.227.165	316
3.192.247.235	398
3.196.171.190	326
3.200.98.93	282
3.200.240.220	325
3.201.153.168	468
3.201.247.115	271
3.204.29.156	360
3.204.157.14	281
3.206.103.171	572
3.214.63.200	357
3.220.74.220	312
3.220.251.89	287
3.222.106.232	410
3.223.62.59	286
3.223.137.206	347
3.230.139.56	407
3.243.175.219	379
3.245.39.190	366
3.247.215.144	621
3.252.86.175	508
3.254.244.172	313
4.3.154.125	577
4.5.34.202	268
4.11.41.45	206
4.25.86.93	488
4.46.93.220	354
4.47.169.185	359
4.49.63.2	364
4.51.194.190	316
4.51.213.79	290
4.54.70.62	419
4.54.118.114	336
4.63.160.140	238
4.64.180.166	623
4.69.122.216	324
4.69.203.240	219
4.75.133.118	370
4.77.134.112	482
4.79.36.239	370
4.84.19.216	404
4.84.253.80	383
4.87.224.127	260
4.91.115.199	514
4.97.212.218	80
4.98.100.160	369
4.101.9.96	276
4.106.120.90	242
4.106.121.59	350
4.107.173.56	344
4.108.244.179	463
4.112.4.154	366
4.113.123.72	382
4.120.65.101	301
4.123.214.218	431
4.124.239.6	349
4.131.6.26	405
4.136.64.229	291
4.139.194.195	316
4.145.31.252	380
4.153.72.230	301
4.153.101.96	321
4.162.180.170	272
4.164.62.179	260
4.165.117.107	375
4.173.247.3	511
4.181.192.32	368
4.182.183.84	270
4.193.171.49	300
4.194.119.253	322
4.195.37.41	219
4.195.47.225	362
4.197.186.179	364
4.200.180.109	394
4.207.84.30	385
4.210.80.44	421
4.213.141.25	308
4.237.75.46	290
4.237.75.237	511
4.237.189.41	516
4.241.187.223	374
5.1.34.92	324
5.6.11.81	323
5.18.155.162	454
5.18.173.43	294
5.19.124.235	211
5.19.200.33	343
5.20.75.187	431
5.30.79.115	288
5.31.47.39	327
5.31.77.27	397
5.33.90.194	421
5.37.122.5	304
5.38.147.105	462
5.48.73.153	533
5.51.102.206	306
5.51.252.130	279
5.52.58.223	315
5.55.215.207	511
5.65.9.127	407
5.68.113.204	433
5.74.61.204	498
5.78.6.27	366
5.93.92.183	263
5.95.211.74	284
5.103.188.166	350
5.115.34.54	379
5.115.143.189	277
5.127.162.172	335
5.129.211.127	329
5.131.166.17	334
5.133.123.184	573
5.137.126.116	279
5.137.233.146	322
5.139.2.146	347
5.145.72.53	374
5.147.106.202	604
5.147.204.51	405
5.149.195.151	428
5.153.23.217	308
5.164.109.143	341
5.167.80.61	278
5.171.75.196	255
5.190.40.206	433
5.191.141.31	334
5.197.12.161	574
5.198.225.40	406
5.210.251.57	337
5.212.67.187	301
5.219.180.90	275
5.227.152.91	429
5.231.44.161	161
5.240.186.222	368
5.241.69.183	428
5.243.55.44	275
5.245.203.112	342
5.254.81.152	293
6.1.8.59	369
6.3.240.97	461
6.7.44.202	273
6.10.125.216	411
6.21.127.96	203
6.22.22.56	362
6.23.230.87	349
6.42.105.254	298
6.50.175.139	528
6.51.6.133	372
6.81.80.221	333
6.93.69.18	369
6.98.88.238	540
6.100.5.13	375
6.101.54.181	393
6.102.76.125	351
6.105.233.29	445
6.112.164.148	455
6.113.112.197	334
6.119.125.105	673
6.121.137.150	350
6.124.138.104	398
6.131.103.52	371
6.139.143.121	375
6.141.238.123	364
6.148.11.47	422
6.151.51.40	299
6.156.108.143	275
6.171.58.7	340
6.173.36.214	411
6.175.153.184	337
6.176.37.213	362
6.187.249.21	329
6.190.97.158	321
6.199.240.130	334
6.202.40.23	422
6.202.74.81	441
6.211.197.221	280
6.213.225.177	322
6.220.113.4	443
6.221.172.155	308
6.222.5.114	256
6.226.102.24	267
6.230.176.233	145
6.234.18.194	317
6.235.142.24	285
6.237.135.202	313
6.245.143.253	238
6.252.240.158	498
7.1.112.108	400
7.7.190.144	331
7.7.251.32	364
7.9.250.65	276
7.14.179.10	324
7.15.191.176	338
7.19.111.126	250
7.25.140.82	374
7.25.232.212	580
7.31.86.36	499
7.38.213.124	456
7.44.173.151	480
7.53.48.150	340
7.53.62.50	202
7.54.81.107	213
7.55.47.25	379
7.65.165.97	406
7.65.171.54	372
7.80.161.45	229
7.83.245.75	402
7.84.5.211	495
7.87.10.234	419
7.89.216.132	306
7.89.238.162	329
7.90.35.25	354
7.96.239.134	358
7.99.68.28	325
7.101.94.230	345
